Наименование,Оценка,Количество оценок,Адрес,Координаты объекта,Количество отзывов,Автор,Статус автора,Оценка автора,Дата,Текст,Like,Dislike,source,Оценка_автора_число,clean_text,review_length,category,sentiment,issue_type,delivery_speed
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Luna Crab,1 отзыв,5 звезд,3 года назад,"Хочу поделиться своей радостью и поблагодарить компанию Мир мебели. Мы с мужем долго искали диван , который бы понравился нам обоим, объехали много магазинов и остановились именно на вашем. И вот он, наш красавчик стоит дома! Ребята …",1.0,,Google,5.0,хочу поделиться своей радостью и поблагодарить компанию мир мебели мы с мужем долго искали диван который бы понравился нам обоим объехали много магазинов и остановились именно на вашем и вот он наш красавчик стоит дома ребята,234,Мягкая мебель,neutral,Другое,slow
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Алена Константинова,4 отзыва,5 звезд,2 года назад,"Купила  мебель Шатура, не дёшево, но соответствует хорошему качеству, проверенному временем. Понравилось обслуживание в салоне, нарисовали бесплатно проект. Муж сам собирал, инструкция понятная. Понравились немецкие петли и прочный корпус кровати толщиной 2,5 см. Теперь буду покупать гостиную в рассрочку.",1.0,,Google,5.0,купила мебель шатура не дёшево но соответствует хорошему качеству проверенному временем понравилось обслуживание в салоне нарисовали бесплатно проект муж сам собирал инструкция понятная понравились немецкие петли и прочный корпус кровати толщиной см теперь буду покупать гостиную в рассрочку,306,Другое,positive,Качество,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,TheKing28 RAIL,1 отзыв,5 звезд,3 года назад,"Встал выбор дивана. Обьездили все магазины, только а акценте нашли то, что надо. Спасибо девочкам из мир мебели, подсказали, рассказали. Остались довольны. Как будто побывали в дизайнерской мастерской. Неожидали, что диван станет шедевром в нашем доме. Теперь под него переделываем обстановку. Мир мебели- приедем к вам за спальней.",1.0,,Google,5.0,встал выбор дивана обьездили все магазины только а акценте нашли то что надо спасибо девочкам из мир мебели подсказали рассказали остались довольны как будто побывали в дизайнерской мастерской неожидали что диван станет шедевром в нашем доме теперь под него переделываем обстановку мир мебели приедем к вам за спальней,332,Мягкая мебель,positive,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Galina Shwefowa,Местный эксперт · 5 отзывов · 21 фото,5 звезд,3 года назад,"Искала самый лучший диван и нашла в магазине Мир мебели! Опытные менеджеры помогли сделать лучший выбор, жаль что под заказ но ради такого дела не сложно подождать! …",2.0,,Google,5.0,искала самый лучший диван и нашла в магазине мир мебели опытные менеджеры помогли сделать лучший выбор жаль что под заказ но ради такого дела не сложно подождать,166,Мягкая мебель,neutral,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Ирина,2 отзыва,5 звезд,2 года назад,"Известные фабрики, слышал о них раньше. Когда пришлось выбирать, это оказалось решающим. Не хотелось купить гаражный конструктор. Очень понравилась Шатура. Качество отличное. рекомендую",,,Google,5.0,известные фабрики слышал о них раньше когда пришлось выбирать это оказалось решающим не хотелось купить гаражный конструктор очень понравилась шатура качество отличное рекомендую,185,Другое,positive,Качество,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Дмитрий ddavledos,1 отзыв,5 звезд,3 года назад,"Здравствуйте! Диван привезли в субботу! Очень понравился, хорошее качество. Ожидание того стоило. Парни сборщики молодцы! Огромное всем вам спасибо!",,,Google,5.0,здравствуйте диван привезли в субботу очень понравился хорошее качество ожидание того стоило парни сборщики молодцы огромное всем вам спасибо,148,Мягкая мебель,positive,Сервис/Доставка,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Юрий Близняк,1 отзыв,5 звезд,2 года назад,"Редко пишу отзывы, но тут хочу выразить благодарность! Заказывал диван Санторини в гостиную - дизайн и качество на высоте!",,,Google,5.0,редко пишу отзывы но тут хочу выразить благодарность заказывал диван санторини в гостиную дизайн и качество на высоте,122,Мягкая мебель,neutral,Качество,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Ирина Шишмарева,4 отзыва,5 звезд,3 года назад,"Хороший выбор качественных диванов, компетентные консультанты. Заказали диван фабрики Опрайм, пришёл наш красавчик за два месяца) Рекомендую!",,,Google,5.0,хороший выбор качественных диванов компетентные консультанты заказали диван фабрики опрайм пришёл наш красавчик за два месяца рекомендую,141,Мягкая мебель,positive,Качество,slow
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Дианис Дуаль,1 отзыв,5 звезд,2 года назад,"Похоже что в салоне сделали неплохой ремонт, очень красиво стало. Приехали посмотреть спальню, посмотрели всю мебель что у вас есть! захотелось обновиться",1.0,,Google,5.0,похоже что в салоне сделали неплохой ремонт очень красиво стало приехали посмотреть спальню посмотрели всю мебель что у вас есть захотелось обновиться,154,Другое,negative,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Станислав Наумов,7 отзывов,5 звезд,2 года назад,Мебель отличается от других салонов. оформлено очень классно. Хочется всё посмотреть и обязательно вернуться за покупкой.,,,Google,5.0,мебель отличается от других салонов оформлено очень классно хочется всё посмотреть и обязательно вернуться за покупкой,121,Другое,positive,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Марина Малько,4 отзыва,5 звезд,2 года назад,"сборщики чемпионы. работают быстро, четко. Видно что хорошо знают сою мебель. Сделали всё без нареканий",,,Google,5.0,сборщики чемпионы работают быстро четко видно что хорошо знают сою мебель сделали всё без нареканий,103,Другое,positive,Другое,fast
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Sveta Pokul,3 отзыва · 3 фото,5 звезд,2 года назад,Приветливые консультанты. Грамотно всё объясняют. Помогают в выборе мебели и аксессуаров.,,,Google,5.0,приветливые консультанты грамотно всё объясняют помогают в выборе мебели и аксессуаров,89,Другое,neutral,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Владимир Юсупов,1 отзыв,5 звезд,2 года назад,"кровать купил и матрас подобрали из наличия здесь,в Иркутске.через 2 дня уже привезли .отличная работа.",,,Google,5.0,кровать купил и матрас подобрали из наличия здесьв иркутскечерез дня уже привезли отличная работа,103,Матрасы,positive,Сервис/Доставка,unknown
