Наименование,Оценка,Количество оценок,Адрес,Координаты объекта,Количество отзывов,Автор,Статус автора,Оценка автора,Дата,Текст,Like,Dislike,source,Оценка_автора_число,clean_text,review_length,category,sentiment,issue_type,delivery_speed
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Надежда Виноградова,Знаток города 5 уровня,4.0,23 октября 2023,"Мужу как военному по распределению дали квартиру в другом городе. Мы 3 года хотели пожить и продать её, поэтому не видели смысла затариваться прямо дорогущей мебелью. Через полгода нашелся знакомый, который хотел эту квартиру даже с налогом дополнительным. Сейчас вот продаем вместе с мебелью. Очень выгодно получилось. Для таких случаев компания много мебели и их мебель определенно неплохой вариант. Так в принципе по эксплуатации тоже особых претензий нет. Диван живой. Покупали причем ребенку. Доставка в полночь правда была, у меня ребенка разбудили. Совершенно бессовестные. При этом за час позвонили, я отказалась принимать в такое время и даже имела на это право по договору. а они взяли все-таки и привезли. Девать уже было некуда.",,,Yandex,4.0,мужу как военному по распределению дали квартиру в другом городе мы года хотели пожить и продать её поэтому не видели смысла затариваться прямо дорогущей мебелью через полгода нашелся знакомый который хотел эту квартиру даже с налогом дополнительным сейчас вот продаем вместе с мебелью очень выгодно получилось для таких случаев компания много мебели и их мебель определенно неплохой вариант так в принципе по эксплуатации тоже особых претензий нет диван живой покупали причем ребенку доставка в полночь правда была у меня ребенка разбудили совершенно бессовестные при этом за час позвонили я отказалась принимать в такое время и даже имела на это право по договору а они взяли всетаки и привезли девать уже было некуда,740,Мягкая мебель,negative,Сервис/Доставка,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Геннадий Поляков,Знаток города 4 уровня,5.0,12 октября 2023,"Честно говоря когда обратились в эту компанию было какое-то двоякое чувство, с одной стороны мебель выставлена симпатичная, а с другой из-за цены к ней какое-то недоверие возникало, мол что где-то подвох. И предоплата полная нас смутила, переживали что обманут и привезут какой-нибудь шлак, а за возврат еще и денег стрясут и тд. Но к нашему счастью все прошло прекрасно. Мы смогли нормально подобрать подходящий который уже через полмесяца был у нас дома. Никаких мистических злоключений не произошло, он был в полной целости и сохранности, таким и остается по сей день.",,,Yandex,5.0,честно говоря когда обратились в эту компанию было какоето двоякое чувство с одной стороны мебель выставлена симпатичная а с другой изза цены к ней какоето недоверие возникало мол что гдето подвох и предоплата полная нас смутила переживали что обманут и привезут какойнибудь шлак а за возврат еще и денег стрясут и тд но к нашему счастью все прошло прекрасно мы смогли нормально подобрать подходящий который уже через полмесяца был у нас дома никаких мистических злоключений не произошло он был в полной целости и сохранности таким и остается по сей день,571,Другое,positive,Другое,slow
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Светлана Бородавина,Знаток города 2 уровня,5.0,21 июня 2023,"Приятная атмосфера в салоне. Каждый менеджер профессионал своего дела. Особенно хочу выделить менеджера Елену. Помогла определиться с моделью дивана. Учла все пожелания и подобрала подходяший вариант. Ответила на все вопросы и была на связи до самой доставки(диван был под заказ). Не навязывала дополнительные услуги , что очень важно. Ребята, которые доставояли и собирали диван сделали все быстро. Вообщем все очень понравилось))",1.0,,Yandex,5.0,приятная атмосфера в салоне каждый менеджер профессионал своего дела особенно хочу выделить менеджера елену помогла определиться с моделью дивана учла все пожелания и подобрала подходяший вариант ответила на все вопросы и была на связи до самой доставкидиван был под заказ не навязывала дополнительные услуги что очень важно ребята которые доставояли и собирали диван сделали все быстро вообщем все очень понравилось,431,Мягкая мебель,neutral,Сервис/Доставка,fast
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Полина Маслова,Знаток города 4 уровня,5.0,11 января,"От заказанного в этой компании дивана и двух кресел я в полном восторге.С помощью приветливого менеджера подобрала себе соответствующую расцветку. По цене все устроила,не завышенная.Привезли мой заказ в указанное время. Отлично смотрится в комнате.качество хорошее.",1.0,,Yandex,5.0,от заказанного в этой компании дивана и двух кресел я в полном восторгес помощью приветливого менеджера подобрала себе соответствующую расцветку по цене все устроилане завышеннаяпривезли мой заказ в указанное время отлично смотрится в комнатекачество хорошее,265,Мягкая мебель,positive,Сервис/Доставка,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,"Филиал ""Востсибрегионводхоз""",Знаток города 7 уровня,4.0,20 декабря 2023,"Ещё раз решили купить мебель в этом магазине, первый опыт прямо скажем был не удачный, купили тогда угловой диван Атланта, сейчас перешли на серию boss, посмотрим в дальнейшем на качество, купили угловой диван, диван дочери и получили модульную стенку и стол в подарок, так что в будущем надеюсь будет 5 звёзд)",,,Yandex,4.0,ещё раз решили купить мебель в этом магазине первый опыт прямо скажем был не удачный купили тогда угловой диван атланта сейчас перешли на серию посмотрим в дальнейшем на качество купили угловой диван диван дочери и получили модульную стенку и стол в подарок так что в будущем надеюсь будет звёзд,310,Мягкая мебель,neutral,Качество,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Аня Смирнова,Знаток города 4 уровня,5.0,1 сентября 2023,"Купили простенький диванчик в магазине Много мебели. Понравилось соотношение цены и качества. Материал у дивана качественный, в ходе эксплуатации никаких минусов не замечено. При необходимости раскладывается в удобную кровать. Не имеет неприятного запаха. Обязательно в дальнейшем будем обращаться сюда.",,,Yandex,5.0,купили простенький диванчик в магазине много мебели понравилось соотношение цены и качества материал у дивана качественный в ходе эксплуатации никаких минусов не замечено при необходимости раскладывается в удобную кровать не имеет неприятного запаха обязательно в дальнейшем будем обращаться сюда,303,Мягкая мебель,positive,Качество,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Макс Королев,Знаток города 5 уровня,5.0,23 января,"Диван нужного цвета и размера в этом магазине по адекватной цене и дешевле, чем у конкурентов. Заказ оформили быстро и получили спустя день примерно, может даже немного меньше суток прошло. Спасибо, вы молодцы!",1.0,,Yandex,5.0,диван нужного цвета и размера в этом магазине по адекватной цене и дешевле чем у конкурентов заказ оформили быстро и получили спустя день примерно может даже немного меньше суток прошло спасибо вы молодцы,210,Мягкая мебель,positive,Несоответствие описанию,fast
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Марина Боклашко,Знаток города 4 уровня,1.0,19 января,"Купила кровать 27.10.2023, по договору поставка 22.12.2023, в декабре я выясняла, что доставка 18.01,2024, крайняя доставка 22.01.2024.. И уже смотрю по сайту что доставка перенесена на 4.02..МНОГО МЕБЕЛИ вы издеваетесь?",,2.0,Yandex,1.0,купила кровать по договору поставка в декабре я выясняла что доставка крайняя доставка и уже смотрю по сайту что доставка перенесена на много мебели вы издеваетесь,220,Другое,neutral,Сервис/Доставка,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Юра Гусев,Знаток города 4 уровня,5.0,12 февраля,"Универсальный современный стол и очень выгодно. Получили скидку на 35 %. Привезли быстро, в оговоренный заранее срок и интервал времени.",,,Yandex,5.0,универсальный современный стол и очень выгодно получили скидку на привезли быстро в оговоренный заранее срок и интервал времени,136,Корпусная мебель,neutral,Сервис/Доставка,fast
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Сергей Г.,Знаток города 2 уровня,5.0,30 июня 2023,"Нужен был диван на дачу в гостиную
Долго выбирали по стоимости и дизайну, когда всё таки решили из нескольких вариантов, не было возможности приехать в салон
Предложили оформиться онлайн, сократили так время и диван уже ушел в производство
Рады, что наконец-то решили проблему с приобретением дивана Спасибо Елене, что помогла сделать выбор и оформиться онлайн OSUR2050001537",,,Yandex,5.0,нужен был диван на дачу в гостиную долго выбирали по стоимости и дизайну когда всё таки решили из нескольких вариантов не было возможности приехать в салон предложили оформиться онлайн сократили так время и диван уже ушел в производство рады что наконецто решили проблему с приобретением дивана спасибо елене что помогла сделать выбор и оформиться онлайн,375,Мягкая мебель,positive,Другое,slow
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Оксана К.,Знаток города 2 уровня,5.0,30 июня 2023,"Заказывала две кровати маме и мне + подвесную тумбу. Всё супер, пришли, собрали) Г-ЕН0000000336
Радуемся, качество и цена доступная 🤗 спасибо консультантам салона за подробную информацию о товаре и о доставке. Очень приветливый и милый персонал, девушка Елена просто очаровательная)",,,Yandex,5.0,заказывала две кровати маме и мне подвесную тумбу всё супер пришли собрали ген радуемся качество и цена доступная спасибо консультантам салона за подробную информацию о товаре и о доставке очень приветливый и милый персонал девушка елена просто очаровательная,282,Корпусная мебель,positive,Сервис/Доставка,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Инкогнито 1024,Знаток города 2 уровня,1.0,21 сентября 2023,"Если вам дороги ваши время и нервы, ни в коем случае не покупайте в этом магазине!! я очень жалею, что не ознакомлюсь с отзывами перед тем, как связалась с этим магазином! Купила ребенку кровать, везут из Самары, и по договору на доставку отводится 45 дней и я должна была получить мебель 25 08 2023. Сегодня 21 09 2023 мебели все еще нет. Менеджер просто не берет трубку.",,,Yandex,1.0,если вам дороги ваши время и нервы ни в коем случае не покупайте в этом магазине я очень жалею что не ознакомлюсь с отзывами перед тем как связалась с этим магазином купила ребенку кровать везут из самары и по договору на доставку отводится дней и я должна была получить мебель сегодня мебели все еще нет менеджер просто не берет трубку,372,Другое,negative,Сервис/Доставка,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,dhink0,Знаток города 2 уровня,5.0,29 июня 2023,"Г-ЕН0000000348 приобрели диван в мае. Спасибо большое за консультацию сотрудникам салона, особенное Елене
Подобрали диван в кухню для гостей) 
Отвечали на все вопросы вовремя и ориентировали по доставке. Если за мебелью, то к вам!",,,Yandex,5.0,ген приобрели диван в мае спасибо большое за консультацию сотрудникам салона особенное елене подобрали диван в кухню для гостей отвечали на все вопросы вовремя и ориентировали по доставке если за мебелью то к вам,230,Мягкая мебель,positive,Сервис/Доставка,fast
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,KotMakot,Знаток города 8 уровня,5.0,22 июля 2022,"Увидели в данном магазине стенку ""Мальта"", сразу понравилась. Консультант с необычным и красивым именем Виорика всё подробно рассказала о данной стенке, описала варианты сборки, ответила на все вопросы, спасибо ей большое! Заказали данную стенку в расцветке ""венге/дуб"", пришла всего за 7 дней, качество хорошее, благодаря модульной конструкции собрали своим особым способом, в результате стенка идеально вписалась в гостиную. Благодарность фабрике и магазину, отличная работа!",1.0,1.0,Yandex,5.0,увидели в данном магазине стенку мальта сразу понравилась консультант с необычным и красивым именем виорика всё подробно рассказала о данной стенке описала варианты сборки ответила на все вопросы спасибо ей большое заказали данную стенку в расцветке венгедуб пришла всего за дней качество хорошее благодаря модульной конструкции собрали своим особым способом в результате стенка идеально вписалась в гостиную благодарность фабрике и магазину отличная работа,477,Корпусная мебель,positive,Качество,unknown
Много Мебели,"3,1",85 оценок,"пр. Ербанова, 6","104.315073,52.264839",47.0,Алина Вячеславовна,Знаток города 2 уровня,5.0,26 июня 2023,"Приобрели в подарок комод 8 июня Г-ЕН0000000407.
Спасибо большое продавцу-консультанту Елене за помощь в оформлении онлайн, научились оплачивать по QR-коду)
Комод уже получили, доставка на удивление оказалась быстрой)))",,,Yandex,5.0,приобрели в подарок комод июня ген спасибо большое продавцуконсультанту елене за помощь в оформлении онлайн научились оплачивать по коду комод уже получили доставка на удивление оказалась быстрой,219,Корпусная мебель,positive,Сервис/Доставка,fast
